winner,referee,method_of_victory,red_Knockdowns,blue_Knockdowns,red_sig_str,blue_sig_str,red_sig_str_percentage,blue_sig_str_percentage,red_total_strikes,blue_total_strikes,red_total_strikes_percentage,blue_total_strikes_percentage,red_takedowns,blue_takedowns,red_takedown_percentage,blue_takedown_percentage,red_subs_attempted,blue_subs_attempted
0,127,2,1,0,5,5,62,100,5,5,62,100,0,0,0,0,0,0
0,183,6,0,0,59,45,46,37,83,84,55,53,0,0,0,0,0,0
1,69,6,0,0,53,54,46,38,56,56,48,39,1,3,33,75,0,1
0,77,6,0,0,106,64,50,38,154,85,60,42,1,2,50,40,0,0
1,153,9,0,0,99,43,34,29,133,64,41,37,2,1,100,11,0,1
0,46,6,0,0,60,27,60,48,86,43,67,58,1,3,50,27,0,1
0,139,2,1,0,3,1,60,14,3,1,60,14,0,0,0,0,0,0
0,46,6,0,0,28,19,49,48,153,102,65,72,6,1,85,100,0,0
0,70,7,0,0,3,0,30,0,4,1,33,100,1,0,100,0,1,0
1,139,9,0,0,29,42,53,37,48,50,63,38,1,0,12,0,0,0
0,153,6,0,0,50,18,54,46,134,64,68,63,3,1,75,12,0,1
1,46,2,0,1,24,25,42,28,26,28,45,31,0,0,0,0,0,0
0,70,6,1,0,40,61,45,38,70,93,58,46,3,0,50,0,0,0
1,153,2,0,1,39,28,54,40,40,30,55,42,3,0,37,0,0,0
0,46,6,0,0,53,28,44,30,94,42,54,37,0,3,0,42,0,0
0,70,2,0,0,66,28,48,43,85,31,54,46,1,1,50,25,0,1
0,139,6,0,0,45,41,42,51,50,103,44,71,1,0,33,0,0,0
0,179,6,1,0,126,66,60,61,247,94,73,66,3,0,33,0,0,0
1,153,2,0,0,30,63,58,71,33,77,60,73,1,6,100,40,1,4
1,70,6,0,0,112,132,41,53,117,133,43,54,0,1,0,33,0,0
1,5,2,0,1,22,26,43,29,22,27,43,30,0,2,0,66,0,0
0,153,2,1,0,30,32,42,55,30,32,42,55,0,0,0,0,0,0
1,179,2,0,3,32,85,29,57,33,85,30,57,0,0,0,0,0,0
0,70,6,0,0,139,68,58,30,148,83,59,35,0,0,0,0,0,0
1,5,2,0,1,16,51,50,62,28,100,58,72,0,2,0,100,0,1
1,153,9,0,0,49,68,63,44,76,76,72,48,2,0,28,0,0,0
0,179,6,0,0,149,51,60,56,217,58,64,59,1,4,10,50,1,0
0,5,2,1,0,20,7,44,38,21,7,46,39,0,0,0,0,0,0
1,70,6,0,1,30,33,63,58,56,110,74,70,2,3,33,37,0,0
1,139,7,0,0,0,4,0,57,3,14,50,74,0,1,0,50,0,1
1,103,6,0,0,38,92,41,47,41,99,43,49,1,1,33,100,0,0
1,139,2,0,1,7,23,28,50,7,23,28,50,0,0,0,0,0,0
0,103,2,1,0,13,5,61,55,13,5,62,56,0,0,0,0,0,0
1,120,7,0,0,40,33,45,35,45,42,49,41,2,0,100,0,0,1
0,139,2,1,0,11,8,73,25,22,17,85,35,0,1,0,100,0,0
0,103,6,0,0,70,54,42,34,85,64,45,38,1,0,10,0,0,0
1,120,6,1,0,54,61,38,34,66,72,43,38,1,0,20,0,0,0
1,205,9,0,0,10,17,27,54,32,25,52,49,0,2,0,33,1,1
0,120,2,1,0,3,6,33,50,3,6,33,50,0,0,0,0,0,0
1,205,7,0,0,26,42,43,50,28,97,42,67,1,1,14,50,0,1
0,153,9,0,0,135,99,64,56,186,143,71,65,4,3,26,37,0,0
0,103,6,0,0,132,81,46,55,132,81,47,55,0,0,0,0,0,0
1,0,2,0,1,12,26,37,72,12,26,38,72,0,0,0,0,0,0
0,103,6,0,0,88,37,68,53,183,48,80,59,4,0,57,0,0,4
1,28,6,0,0,32,80,56,47,171,175,79,66,0,0,0,0,0,0
1,153,2,0,1,20,35,33,46,20,39,34,49,0,0,0,0,0,0
0,58,7,0,0,62,36,76,62,79,61,81,68,0,1,0,25,1,0
0,103,9,0,0,130,149,45,71,131,150,46,71,0,0,0,0,0,0
1,0,6,0,0,33,27,53,62,115,91,77,78,0,3,0,42,0,0
1,28,2,0,0,14,25,48,67,14,37,48,60,0,0,0,0,0,0
1,58,2,0,1,17,20,60,60,17,20,61,61,0,0,0,0,0,0
1,28,2,0,1,17,37,70,58,22,60,76,66,1,1,50,100,0,0
0,153,2,2,0,105,60,46,43,110,64,47,44,0,2,0,22,0,0
0,179,7,0,0,34,30,61,46,52,30,70,46,3,0,50,0,1,0
0,46,7,0,1,10,20,66,68,30,41,81,80,1,0,14,0,2,1
1,70,2,0,1,15,20,62,68,15,20,62,69,0,0,0,0,0,0
0,153,6,0,0,59,82,77,54,76,88,80,56,3,0,42,0,0,0
