redCorner,blueCorner,winner,event,referee,method_of_victory,red_Knockdowns,blue_Knockdowns,red_sig_str,blue_sig_str,red_sig_str_percentage,blue_sig_str_percentage,red_total_strikes,blue_total_strikes,red_takedowns,blue_takedowns,red_takedown_percentage,blue_takedown_percentage,red_subs_attempted,blue_subs_attempted
Zarah Fairn,Jacqueline Cavalcanti,Jacqueline Cavalcanti,UFC Fight Night: Gane vs. Spivac,Rich Mitchell,Decision - Unanimous,0,0,39 of 259,126 of 221,15%,57%,39 of 259,127 of 222,0 of 2,0 of 1,0%,0%,0,0
Max Holloway,Chan Sung Jung,Max Holloway,UFC Fight Night: Holloway vs. The Korean Zombie,,KO/TKO,2,0,75 of 128,34 of 124,58%,27%,75 of 128,35 of 126,0 of 0,0 of 1,---,0%,1,0
Anthony Smith,Ryan Spann,Anthony Smith,UFC Fight Night: Holloway vs. The Korean Zombie,Mark Craig,Decision - Split,0,0,91 of 147,59 of 187,61%,31%,91 of 147,62 of 191,1 of 3,0 of 1,33%,0%,0,0
Giga Chikadze,Alex Caceres,Giga Chikadze,UFC Fight Night: Holloway vs. The Korean Zombie,Marc Goddard,Decision - Unanimous,0,0,65 of 141,62 of 168,46%,36%,65 of 141,62 of 168,0 of 0,0 of 0,---,---,0,0
Rinya Nakamura,Fernie Garcia,Rinya Nakamura,UFC Fight Night: Holloway vs. The Korean Zombie,Kevin Sataki,Decision - Unanimous,0,0,36 of 57,15 of 66,63%,22%,56 of 84,50 of 106,4 of 4,0 of 0,100%,---,3,1
Erin Blanchfield,Taila Santos,Erin Blanchfield,UFC Fight Night: Holloway vs. The Korean Zombie,Thomas Fan,Decision - Unanimous,0,0,61 of 128,55 of 151,47%,36%,119 of 210,96 of 202,0 of 14,0 of 3,0%,0%,0,0
Junior Tafa,Parker Porter,Junior Tafa,UFC Fight Night: Holloway vs. The Korean Zombie,Marc Goddard,KO/TKO,1,0,8 of 13,2 of 9,61%,22%,11 of 16,3 of 10,0 of 0,0 of 1,---,0%,0,0
Waldo Cortes-Acosta,Lukasz Brzeski,Waldo Cortes-Acosta,UFC Fight Night: Holloway vs. The Korean Zombie,Mark Craig,KO/TKO,1,0,15 of 45,14 of 22,33%,63%,16 of 46,15 of 23,0 of 0,0 of 0,---,---,0,0
Toshiomi Kazama,Garrett Armfield,Garrett Armfield,UFC Fight Night: Holloway vs. The Korean Zombie,Kevin Sataki,KO/TKO,0,1,15 of 31,45 of 77,48%,58%,15 of 31,45 of 77,0 of 2,0 of 0,0%,---,0,0
Chidi Njokuani,Michal Oleksiejczuk,Michal Oleksiejczuk,UFC Fight Night: Holloway vs. The Korean Zombie,Thomas Fan,KO/TKO,0,0,29 of 57,44 of 72,50%,61%,30 of 58,54 of 85,0 of 2,1 of 1,0%,100%,0,0
Song Kenan,Rolando Bedoya,Song Kenan,UFC Fight Night: Holloway vs. The Korean Zombie,Marc Goddard,Decision - Unanimous,1,0,75 of 149,112 of 258,50%,43%,85 of 161,112 of 260,0 of 0,0 of 4,---,0%,0,0
Billy Goff,Yusaku Kinoshita,Billy Goff,UFC Fight Night: Holloway vs. The Korean Zombie,Mark Craig,KO/TKO,1,0,40 of 85,17 of 53,47%,32%,43 of 89,17 of 53,0 of 1,0 of 0,0%,---,0,0
Liang Na,JJ Aldrich,JJ Aldrich,UFC Fight Night: Holloway vs. The Korean Zombie,Kevin Sataki,KO/TKO,0,0,11 of 41,47 of 65,26%,72%,27 of 61,68 of 89,3 of 4,0 of 0,75%,---,0,0
SeungWoo Choi,Jarno Errens,SeungWoo Choi,UFC Fight Night: Holloway vs. The Korean Zombie,Thomas Fan,Decision - Unanimous,1,1,56 of 115,30 of 76,48%,39%,108 of 179,40 of 88,1 of 1,0 of 4,100%,0%,0,0
Aljamain Sterling,Sean O'Malley,Sean O'Malley,UFC 292: Sterling vs. O'Malley,Marc Goddard,KO/TKO,0,1,17 of 35,25 of 35,48%,71%,24 of 46,26 of 36,0 of 2,0 of 0,0%,---,0,0
Zhang Weili,Amanda Lemos,Zhang Weili,UFC 292: Sterling vs. O'Malley,Kevin MacDonald,Decision - Unanimous,1,0,163 of 217,24 of 63,75%,38%,296 of 358,29 of 68,6 of 7,0 of 0,85%,---,0,2
Neil Magny,Ian Garry,Ian Garry,UFC 292: Sterling vs. O'Malley,Keith Peterson,Decision - Unanimous,0,0,27 of 66,91 of 150,40%,60%,51 of 93,111 of 171,0 of 2,2 of 2,0%,100%,0,0
Da'Mon Blackshear,Mario Bautista,Mario Bautista,UFC 292: Sterling vs. O'Malley,Bryan Miner,Decision - Unanimous,0,0,90 of 174,79 of 137,51%,57%,108 of 192,102 of 161,4 of 7,2 of 10,57%,20%,0,1
Marlon Vera,Pedro Munhoz,Marlon Vera,UFC 292: Sterling vs. O'Malley,Herb Dean,Decision - Unanimous,0,0,141 of 251,113 of 246,56%,45%,141 of 251,113 of 246,0 of 1,0 of 1,0%,0%,0,0
Chris Weidman,Brad Tavares,Brad Tavares,UFC 292: Sterling vs. O'Malley,Keith Peterson,Decision - Unanimous,0,0,37 of 92,70 of 115,40%,60%,39 of 94,71 of 116,0 of 8,0 of 0,0%,---,0,0
Gregory Rodrigues,Denis Tiuliulin,Gregory Rodrigues,UFC 292: Sterling vs. O'Malley,Bryan Miner,KO/TKO,0,0,5 of 6,2 of 7,83%,28%,6 of 8,3 of 8,1 of 2,0 of 0,50%,---,0,0
Kurt Holobaugh,Austin Hubbard,Kurt Holobaugh,UFC 292: Sterling vs. O'Malley,John English,Submission,0,0,61 of 119,44 of 107,51%,41%,85 of 144,61 of 125,0 of 0,2 of 6,---,33%,2,0
Brad Katona,Cody Gibson,Brad Katona,UFC 292: Sterling vs. O'Malley,Marc Goddard,Decision - Unanimous,0,0,160 of 311,164 of 268,51%,61%,173 of 327,169 of 273,0 of 2,0 of 1,0%,0%,0,0
Andre Petroski,Gerald Meerschaert,Andre Petroski,UFC 292: Sterling vs. O'Malley,Herb Dean,Decision - Split,1,0,57 of 132,76 of 149,43%,51%,67 of 143,92 of 166,2 of 5,1 of 3,40%,33%,0,0
Andrea Lee,Natalia Silva,Natalia Silva,UFC 292: Sterling vs. O'Malley,Kevin MacDonald,Decision - Unanimous,0,0,43 of 125,70 of 174,34%,40%,43 of 125,70 of 174,0 of 0,0 of 0,---,---,0,0
Karine Silva,Maryna Moroz,Karine Silva,UFC 292: Sterling vs. O'Malley,John English,Submission,1,0,30 of 53,16 of 55,56%,29%,52 of 76,25 of 66,1 of 1,0 of 0,100%,---,1,0
Vicente Luque,Rafael Dos Anjos,Vicente Luque,UFC Fight Night: Luque vs. Dos Anjos,Mark Smith,Decision - Unanimous,0,0,72 of 141,66 of 136,51%,48%,138 of 221,94 of 170,8 of 11,2 of 7,72%,28%,0,1
Cub Swanson,Hakeem Dawodu,Cub Swanson,UFC Fight Night: Luque vs. Dos Anjos,Jason Herzog,Decision - Unanimous,0,0,77 of 156,95 of 176,49%,53%,107 of 195,129 of 224,1 of 2,0 of 0,50%,---,0,0
Khalil Rountree Jr.,Chris Daukaus,Khalil Rountree Jr.,UFC Fight Night: Luque vs. Dos Anjos,Herb Dean,KO/TKO,1,0,16 of 24,8 of 21,66%,38%,16 of 24,14 of 28,0 of 0,0 of 1,---,0%,0,0
Polyana Viana,Iasmin Lucindo,Iasmin Lucindo,UFC Fight Night: Luque vs. Dos Anjos,Chris Tognoni,Submission,0,0,10 of 25,10 of 24,40%,41%,41 of 68,31 of 48,1 of 3,2 of 2,33%,100%,0,1
AJ Dobson,Tafon Nchukwi,AJ Dobson,UFC Fight Night: Luque vs. Dos Anjos,Herb Dean,Decision - Unanimous,0,0,67 of 134,53 of 99,50%,53%,98 of 176,59 of 106,2 of 3,0 of 0,66%,---,0,0
Josh Fremd,Jamie Pickett,Josh Fremd,UFC Fight Night: Luque vs. Dos Anjos,Mark Smith,Decision - Unanimous,0,0,31 of 80,14 of 52,38%,26%,59 of 109,26 of 67,0 of 3,2 of 3,0%,66%,2,0
JP Buys,Marcus McGhee,Marcus McGhee,UFC Fight Night: Luque vs. Dos Anjos,Jason Herzog,KO/TKO,0,1,4 of 30,7 of 13,13%,53%,4 of 30,7 of 13,0 of 1,0 of 0,0%,---,0,0
Terrance McKinney,Mike Breeden,Terrance McKinney,UFC Fight Night: Luque vs. Dos Anjos,Chris Tognoni,KO/TKO,0,0,30 of 47,1 of 5,63%,20%,30 of 47,1 of 5,0 of 2,0 of 1,0%,0%,0,0
Francis Marshall,Isaac Dulgarian,Isaac Dulgarian,UFC Fight Night: Luque vs. Dos Anjos,Jason Herzog,KO/TKO,0,0,2 of 7,35 of 53,28%,66%,11 of 16,61 of 83,0 of 0,1 of 1,---,100%,0,0
Josh Parisian,Martin Buday,Martin Buday,UFC Fight Night: Luque vs. Dos Anjos,Herb Dean,Submission,0,0,26 of 61,42 of 67,42%,62%,27 of 63,62 of 91,0 of 0,1 of 1,---,100%,0,1
Jaqueline Amorim,Montserrat Conejo Ruiz,Jaqueline Amorim,UFC Fight Night: Luque vs. Dos Anjos,Chris Tognoni,KO/TKO,0,0,86 of 136,6 of 36,63%,16%,141 of 208,20 of 57,1 of 3,1 of 1,33%,100%,4,0
Da'Mon Blackshear,Jose Johnson,Da'Mon Blackshear,UFC Fight Night: Luque vs. Dos Anjos,Mark Smith,Submission,0,0,18 of 30,8 of 12,60%,66%,30 of 46,16 of 21,2 of 4,0 of 0,50%,---,1,0
Juliana Miller,Luana Santos,Luana Santos,UFC Fight Night: Luque vs. Dos Anjos,Jason Herzog,KO/TKO,0,0,24 of 75,63 of 105,32%,60%,25 of 77,64 of 106,0 of 2,0 of 0,0%,---,0,0
Cory Sandhagen,Rob Font,Cory Sandhagen,UFC Fight Night: Sandhagen vs. Font,Jason Herzog,Decision - Unanimous,0,0,34 of 84,9 of 49,40%,18%,132 of 211,25 of 69,7 of 7,1 of 2,100%,50%,1,0
Jessica Andrade,Tatiana Suarez,Tatiana Suarez,UFC Fight Night: Sandhagen vs. Font,Kevin MacDonald,Submission,0,0,11 of 29,23 of 49,37%,46%,13 of 31,25 of 51,0 of 0,3 of 3,---,100%,0,1
Dustin Jacoby,Kennedy Nzechukwu,Dustin Jacoby,UFC Fight Night: Sandhagen vs. Font,Gary Copeland,KO/TKO,1,0,10 of 33,4 of 18,30%,22%,10 of 33,4 of 18,0 of 0,0 of 0,---,---,0,0
Diego Lopes,Gavin Tucker,Diego Lopes,UFC Fight Night: Sandhagen vs. Font,Jimmy Neely,Submission,0,0,0 of 4,0 of 6,0%,0%,0 of 4,0 of 6,0 of 0,1 of 1,---,100%,3,0
Tanner Boser,Aleksa Camur,Tanner Boser,UFC Fight Night: Sandhagen vs. Font,Justin Brown,Decision - Unanimous,0,0,120 of 215,68 of 136,55%,50%,145 of 253,105 of 175,0 of 0,0 of 1,---,0%,0,0
Ignacio Bahamondes,Ludovit Klein,Ludovit Klein,UFC Fight Night: Sandhagen vs. Font,Jason Herzog,Decision - Unanimous,0,0,43 of 139,56 of 108,30%,51%,62 of 166,94 of 151,0 of 1,3 of 5,0%,60%,0,0
Kyler Phillips,Raoni Barcelos,Kyler Phillips,UFC Fight Night: Sandhagen vs. Font,Kevin MacDonald,Decision - Unanimous,1,0,72 of 187,46 of 116,38%,39%,80 of 196,52 of 124,1 of 4,3 of 11,25%,27%,0,0
Jeremiah Wells,Carlston Harris,Carlston Harris,UFC Fight Night: Sandhagen vs. Font,Jason Herzog,Submission,0,0,18 of 48,5 of 19,37%,26%,41 of 78,19 of 36,3 of 5,0 of 1,60%,0%,2,1
Billy Quarantillo,Damon Jackson,Billy Quarantillo,UFC Fight Night: Sandhagen vs. Font,Kevin MacDonald,Decision - Unanimous,0,0,100 of 188,67 of 173,53%,38%,169 of 270,75 of 184,0 of 0,3 of 13,---,23%,1,0
Cody Durden,Jake Hadley,Cody Durden,UFC Fight Night: Sandhagen vs. Font,Jimmy Neely,Decision - Unanimous,0,0,38 of 85,26 of 83,44%,31%,63 of 122,45 of 106,4 of 6,0 of 3,66%,0%,1,3
Sean Woodson,Dennis Buzukja,Sean Woodson,UFC Fight Night: Sandhagen vs. Font,Justin Brown,Decision - Unanimous,0,0,71 of 126,42 of 116,56%,36%,163 of 229,46 of 121,4 of 5,0 of 1,80%,0%,0,0
Ode Osbourne,Assu Almabayev,Assu Almabayev,UFC Fight Night: Sandhagen vs. Font,Gary Copeland,Submission,0,0,4 of 18,26 of 40,22%,65%,8 of 22,52 of 78,0 of 0,2 of 5,---,40%,0,2
Dustin Poirier,Justin Gaethje,Justin Gaethje,UFC 291: Poirier vs. Gaethje 2,Herb Dean,KO/TKO,0,1,27 of 52,41 of 66,51%,62%,27 of 52,41 of 66,0 of 0,0 of 0,---,---,0,0
Jan Blachowicz,Alex Pereira,Alex Pereira,UFC 291: Poirier vs. Gaethje 2,Marc Goddard,Decision - Split,0,0,52 of 81,70 of 92,64%,76%,82 of 117,112 of 138,3 of 8,0 of 0,37%,---,2,1
Derrick Lewis,Marcos Rogerio de Lima,Derrick Lewis,UFC 291: Poirier vs. Gaethje 2,Dan Miragliotta,KO/TKO,1,0,17 of 33,1 of 1,51%,100%,20 of 36,2 of 2,0 of 0,0 of 0,---,---,0,0
Tony Ferguson,Bobby Green,Bobby Green,UFC 291: Poirier vs. Gaethje 2,Dan Miragliotta,Submission,0,0,54 of 123,137 of 217,43%,63%,62 of 138,145 of 227,0 of 3,0 of 0,0%,---,0,1
Michael Chiesa,Kevin Holland,Kevin Holland,UFC 291: Poirier vs. Gaethje 2,Marc Goddard,Submission,0,0,4 of 11,9 of 16,36%,56%,6 of 13,12 of 19,0 of 5,0 of 0,0%,---,0,1
Gabriel Bonfim,Trevin Giles,Gabriel Bonfim,UFC 291: Poirier vs. Gaethje 2,Herb Dean,Submission,0,0,3 of 11,1 of 5,27%,20%,3 of 11,1 of 5,1 of 1,0 of 0,100%,---,1,0
CJ Vergara,Vinicius Salvador,CJ Vergara,UFC 291: Poirier vs. Gaethje 2,Dave Seljestad,Decision - Unanimous,0,0,109 of 181,88 of 195,60%,45%,109 of 181,89 of 196,0 of 0,0 of 2,---,0%,0,0
Roman Kopylov,Claudio Ribeiro,Roman Kopylov,UFC 291: Poirier vs. Gaethje 2,Marc Goddard,KO/TKO,1,0,32 of 42,32 of 59,76%,54%,32 of 42,33 of 60,0 of 0,0 of 1,---,0%,0,0
Jake Matthews,Darrius Flowers,Jake Matthews,UFC 291: Poirier vs. Gaethje 2,Tyler Tomlinson,Submission,0,0,60 of 101,36 of 64,59%,56%,71 of 113,41 of 69,0 of 1,1 of 3,0%,33%,1,0
Matthew Semelsberger,Uros Medic,Uros Medic,UFC 291: Poirier vs. Gaethje 2,Tyler Tomlinson,KO/TKO,1,1,52 of 120,69 of 128,43%,53%,53 of 121,76 of 135,0 of 2,1 of 1,0%,100%,0,0
Miranda Maverick,Priscila Cachoeira,Miranda Maverick,UFC 291: Poirier vs. Gaethje 2,Dave Seljestad,Submission,0,0,36 of 51,11 of 23,70%,47%,105 of 132,13 of 26,3 of 9,0 of 0,33%,---,1,0
Tom Aspinall,Marcin Tybura,Tom Aspinall,UFC Fight Night: Aspinall vs. Tybura,Marc Goddard,KO/TKO,1,0,13 of 18,4 of 15,72%,26%,13 of 18,4 of 15,0 of 0,0 of 0,---,---,0,0
Molly McCann,Julija Stoliarenko,Julija Stoliarenko,UFC Fight Night: Aspinall vs. Tybura,Jason Herzog,Submission,0,0,6 of 16,9 of 29,37%,31%,6 of 16,9 of 29,0 of 0,1 of 1,---,100%,0,1
Nathaniel Wood,Andre Fili,Nathaniel Wood,UFC Fight Night: Aspinall vs. Tybura,Marc Goddard,Decision - Unanimous,1,1,84 of 148,58 of 151,56%,38%,108 of 174,76 of 179,1 of 2,0 of 2,50%,0%,0,0
Paul Craig,Andre Muniz,Paul Craig,UFC Fight Night: Aspinall vs. Tybura,Daniel Movahedi,KO/TKO,0,0,40 of 82,24 of 40,48%,60%,54 of 101,31 of 47,2 of 2,2 of 2,100%,100%,1,0
Jai Herbert,Fares Ziam,Fares Ziam,UFC Fight Night: Aspinall vs. Tybura,Jason Herzog,Decision - Unanimous,0,0,49 of 134,61 of 113,36%,53%,58 of 150,96 of 153,0 of 6,1 of 5,0%,20%,0,0
Lerone Murphy,Josh Culibao,Lerone Murphy,UFC Fight Night: Aspinall vs. Tybura,Loic Pora,Decision - Unanimous,1,0,59 of 109,23 of 59,54%,38%,87 of 144,40 of 77,3 of 5,0 of 2,60%,0%,2,0
Davey Grant,Daniel Marcos,Daniel Marcos,UFC Fight Night: Aspinall vs. Tybura,Marc Goddard,Decision - Split,0,0,70 of 215,48 of 140,32%,34%,70 of 215,49 of 141,0 of 1,1 of 1,0%,100%,0,0
Danny Roberts,Jonny Parsons,Jonny Parsons,UFC Fight Night: Aspinall vs. Tybura,Jason Herzog,KO/TKO,0,2,44 of 133,63 of 124,33%,50%,44 of 134,69 of 133,0 of 2,0 of 0,0%,---,0,0
Marc Diakiese,Joel Alvarez,Joel Alvarez,UFC Fight Night: Aspinall vs. Tybura,Daniel Movahedi,Submission,0,0,20 of 46,42 of 75,43%,56%,29 of 60,64 of 98,2 of 3,0 of 1,66%,0%,0,1
Mick Parkin,Jamal Pogues,Mick Parkin,UFC Fight Night: Aspinall vs. Tybura,Loic Pora,Decision - Unanimous,0,0,95 of 156,36 of 135,60%,26%,98 of 159,37 of 136,0 of 0,0 of 1,---,0%,0,0
Makhmud Muradov,Bryan Barberena,Makhmud Muradov,UFC Fight Night: Aspinall vs. Tybura,Marc Goddard,Decision - Unanimous,2,0,54 of 97,28 of 81,55%,34%,68 of 114,81 of 138,13 of 16,0 of 1,81%,0%,0,0
Ketlen Vieira,Pannie Kianzad,Ketlen Vieira,UFC Fight Night: Aspinall vs. Tybura,Jason Herzog,Decision - Unanimous,0,0,15 of 33,22 of 51,45%,43%,65 of 103,92 of 144,3 of 3,0 of 0,100%,---,3,0
Chris Duncan,Yanal Ashmouz,Chris Duncan,UFC Fight Night: Aspinall vs. Tybura,Loic Pora,Decision - Unanimous,0,0,85 of 206,35 of 98,41%,35%,87 of 209,36 of 100,2 of 4,0 of 1,50%,0%,0,0
Shauna Bannon,Bruna Brasil,Bruna Brasil,UFC Fight Night: Aspinall vs. Tybura,Daniel Movahedi,Decision - Unanimous,0,0,54 of 144,56 of 90,37%,62%,124 of 223,73 of 111,0 of 2,2 of 3,0%,66%,0,0
Jafel Filho,Daniel Barez,Jafel Filho,UFC Fight Night: Aspinall vs. Tybura,Marc Goddard,Submission,0,1,21 of 54,18 of 30,38%,60%,23 of 62,18 of 30,1 of 4,0 of 0,25%,---,1,0
Holly Holm,Mayra Bueno Silva,,UFC Fight Night: Holm vs. Bueno Silva,Keith Peterson,Overturned,0,0,27 of 39,20 of 37,69%,54%,50 of 70,31 of 50,0 of 1,0 of 0,0%,---,0,1
Jack Della Maddalena,Bassil Hafez,Jack Della Maddalena,UFC Fight Night: Holm vs. Bueno Silva,Mark Smith,Decision - Split,0,0,83 of 137,32 of 124,60%,25%,149 of 212,48 of 141,1 of 2,3 of 20,50%,15%,0,0
Ottman Azaitar,Francisco Prado,Francisco Prado,UFC Fight Night: Holm vs. Bueno Silva,Chris Tognoni,KO/TKO,0,1,14 of 33,38 of 57,42%,66%,16 of 36,42 of 61,0 of 0,0 of 3,---,0%,0,0
Albert Duraev,JunYong Park,JunYong Park,UFC Fight Night: Holm vs. Bueno Silva,Mark Smith,Submission,0,1,31 of 77,50 of 96,40%,52%,35 of 83,77 of 138,1 of 2,0 of 1,50%,0%,0,3
Norma Dumont,Chelsea Chandler,Norma Dumont,UFC Fight Night: Holm vs. Bueno Silva,Jacob Montalvo,Decision - Unanimous,0,0,47 of 76,22 of 61,61%,36%,98 of 141,72 of 124,3 of 3,1 of 3,100%,33%,0,0
Nazim Sadykhov,Terrance McKinney,Nazim Sadykhov,UFC Fight Night: Holm vs. Bueno Silva,Keith Peterson,Submission,0,0,8 of 15,6 of 14,53%,42%,20 of 27,21 of 34,0 of 0,2 of 5,---,40%,1,0
Tucker Lutz,Melsik Baghdasaryan,Melsik Baghdasaryan,UFC Fight Night: Holm vs. Bueno Silva,Jacob Montalvo,Decision - Unanimous,0,0,36 of 109,64 of 108,33%,59%,41 of 115,74 of 122,3 of 9,0 of 0,33%,---,0,0
Viktoriia Dudakova,Istela Nunes,Viktoriia Dudakova,UFC Fight Night: Holm vs. Bueno Silva,Chris Tognoni,KO/TKO,0,0,3 of 11,2 of 6,27%,33%,3 of 11,2 of 6,1 of 1,0 of 0,100%,---,0,0
Austin Lingo,Melquizael Costa,Melquizael Costa,UFC Fight Night: Holm vs. Bueno Silva,Keith Peterson,Decision - Unanimous,0,0,39 of 139,100 of 220,28%,45%,39 of 140,108 of 236,0 of 0,3 of 8,---,37%,0,1
Evan Elder,Genaro Valdez,Evan Elder,UFC Fight Night: Holm vs. Bueno Silva,Mark Smith,Decision - Unanimous,1,1,96 of 195,64 of 236,49%,27%,96 of 195,65 of 237,1 of 1,0 of 0,100%,---,1,0
Tyson Nam,Azat Maksum,Azat Maksum,UFC Fight Night: Holm vs. Bueno Silva,Keith Peterson,Decision - Split,0,0,81 of 213,46 of 189,38%,24%,98 of 242,46 of 190,0 of 0,2 of 11,---,18%,0,0
Alexander Munoz,Carl Deaton,Alexander Munoz,UFC Fight Night: Holm vs. Bueno Silva,Jacob Montalvo,Decision - Unanimous,1,0,44 of 111,37 of 108,39%,34%,53 of 120,39 of 112,3 of 7,0 of 2,42%,0%,0,0
Ashlee Evans-Smith,Ailin Perez,Ailin Perez,UFC Fight Night: Holm vs. Bueno Silva,Chris Tognoni,Decision - Unanimous,0,0,12 of 47,60 of 104,25%,57%,13 of 49,127 of 190,0 of 1,10 of 15,0%,66%,0,0
Alexander Volkanovski,Yair Rodriguez,Alexander Volkanovski,UFC 290: Volkanovski vs. Rodriguez,Herb Dean,KO/TKO,0,0,66 of 97,40 of 80,68%,50%,149 of 198,57 of 103,7 of 12,0 of 0,58%,---,0,0
Brandon Moreno,Alexandre Pantoja,Alexandre Pantoja,UFC 290: Volkanovski vs. Rodriguez,Jason Herzog,Decision - Split,0,1,147 of 245,129 of 274,60%,47%,167 of 265,161 of 323,2 of 4,6 of 11,50%,54%,0,0
Robert Whittaker,Dricus Du Plessis,Dricus Du Plessis,UFC 290: Volkanovski vs. Rodriguez,Marc Goddard,KO/TKO,0,1,31 of 70,62 of 104,44%,59%,32 of 71,74 of 118,1 of 1,1 of 1,100%,100%,0,0
Jalin Turner,Dan Hooker,Dan Hooker,UFC 290: Volkanovski vs. Rodriguez,Mark Smith,Decision - Split,0,1,100 of 177,125 of 197,56%,63%,113 of 191,172 of 247,1 of 3,0 of 2,33%,0%,0,1
Bo Nickal,Val Woodburn,Bo Nickal,UFC 290: Volkanovski vs. Rodriguez,Chris Tognoni,KO/TKO,1,0,7 of 10,2 of 9,70%,22%,7 of 10,2 of 9,0 of 1,0 of 0,0%,---,0,0
Robbie Lawler,Niko Price,Robbie Lawler,UFC 290: Volkanovski vs. Rodriguez,Marc Goddard,KO/TKO,1,0,8 of 10,2 of 7,80%,28%,8 of 10,2 of 7,0 of 0,0 of 0,---,---,0,0
Tatsuro Taira,Edgar Chairez,Tatsuro Taira,UFC 290: Volkanovski vs. Rodriguez,Herb Dean,Decision - Unanimous,0,1,61 of 78,25 of 38,78%,65%,121 of 148,26 of 39,2 of 3,0 of 0,66%,---,1,2
Yazmin Jauregui,Denise Gomes,Denise Gomes,UFC 290: Volkanovski vs. Rodriguez,Jason Herzog,KO/TKO,0,1,0 of 1,17 of 20,0%,85%,0 of 1,21 of 24,0 of 0,0 of 0,---,---,0,0
Jimmy Crute,Alonzo Menifield,Alonzo Menifield,UFC 290: Volkanovski vs. Rodriguez,Mark Smith,Submission,0,0,26 of 53,21 of 36,49%,58%,32 of 59,25 of 40,1 of 5,0 of 0,20%,---,0,1
Vitor Petrino,Marcin Prachnio,Vitor Petrino,UFC 290: Volkanovski vs. Rodriguez,Marc Goddard,Submission,0,0,44 of 81,55 of 88,54%,62%,72 of 111,147 of 185,4 of 6,0 of 1,66%,0%,2,0
Cameron Saaiman,Terrence Mitchell,Cameron Saaiman,UFC 290: Volkanovski vs. Rodriguez,Mark Smith,KO/TKO,0,0,18 of 32,3 of 7,56%,42%,23 of 38,6 of 11,2 of 2,1 of 2,100%,50%,1,0
Shannon Ross,Jesus Aguilar,Jesus Aguilar,UFC 290: Volkanovski vs. Rodriguez,Jason Herzog,KO/TKO,0,1,2 of 3,2 of 3,66%,66%,2 of 3,2 of 3,0 of 0,0 of 0,---,---,0,0
Kamuela Kirk,Esteban Ribovics,Esteban Ribovics,UFC 290: Volkanovski vs. Rodriguez,Chris Tognoni,Decision - Unanimous,0,0,56 of 107,115 of 202,52%,56%,86 of 147,135 of 224,3 of 14,2 of 2,21%,100%,1,0
Sean Strickland,Abus Magomedov,Sean Strickland,UFC Fight Night: Strickland vs. Magomedov,Mark Smith,KO/TKO,1,0,81 of 188,47 of 101,43%,46%,81 of 188,47 of 101,0 of 0,1 of 2,---,50%,0,0
Damir Ismagulov,Grant Dawson,Grant Dawson,UFC Fight Night: Strickland vs. Magomedov,Herb Dean,Decision - Unanimous,0,0,13 of 28,30 of 57,46%,52%,35 of 54,84 of 128,0 of 0,3 of 5,---,60%,0,1
Max Griffin,Michael Morales,Michael Morales,UFC Fight Night: Strickland vs. Magomedov,Kerry Hatley,Decision - Unanimous,0,0,36 of 102,72 of 164,35%,43%,39 of 105,73 of 165,0 of 8,1 of 1,0%,100%,0,0
Ariane Lipski,Melissa Gatto,Ariane Lipski,UFC Fight Night: Strickland vs. Magomedov,Chris Tognoni,Decision - Split,0,0,66 of 149,85 of 186,44%,45%,81 of 166,100 of 201,1 of 1,0 of 7,100%,0%,0,0
Ismael Bonfim,Benoit Saint Denis,Benoit Saint Denis,UFC Fight Night: Strickland vs. Magomedov,Herb Dean,Submission,0,0,14 of 24,13 of 33,58%,39%,15 of 26,35 of 58,0 of 0,2 of 7,---,28%,0,2
Brunno Ferreira,Nursulton Ruziboev,Nursulton Ruziboev,UFC Fight Night: Strickland vs. Magomedov,Mark Smith,KO/TKO,0,0,3 of 5,6 of 9,60%,66%,3 of 5,6 of 9,0 of 0,1 of 1,---,100%,0,0
Kevin Lee,Rinat Fakhretdinov,Rinat Fakhretdinov,UFC Fight Night: Strickland vs. Magomedov,Herb Dean,Submission,0,1,3 of 8,11 of 17,37%,64%,3 of 8,11 of 17,0 of 0,0 of 0,---,---,0,1
Joanderson Brito,Westin Wilson,Joanderson Brito,UFC Fight Night: Strickland vs. Magomedov,Chris Tognoni,KO/TKO,0,0,22 of 30,4 of 8,73%,50%,24 of 32,14 of 18,1 of 1,0 of 0,100%,---,0,2
Yana Santos,Karol Rosa,Karol Rosa,UFC Fight Night: Strickland vs. Magomedov,Kerry Hatley,Decision - Split,0,0,95 of 156,66 of 130,60%,50%,151 of 213,117 of 181,0 of 0,1 of 1,---,100%,0,0
Guram Kutateladze,Elves Brener,Elves Brener,UFC Fight Night: Strickland vs. Magomedov,Chris Tognoni,KO/TKO,0,1,85 of 163,65 of 132,52%,49%,99 of 177,93 of 165,1 of 3,2 of 7,33%,28%,0,0
Ivana Petrovic,Luana Carolina,Luana Carolina,UFC Fight Night: Strickland vs. Magomedov,Mark Smith,Decision - Unanimous,0,0,22 of 62,41 of 87,35%,47%,77 of 122,112 of 167,2 of 6,1 of 3,33%,33%,2,0
Alexandr Romanov,Blagoy Ivanov,Alexandr Romanov,UFC Fight Night: Strickland vs. Magomedov,Kerry Hatley,Decision - Unanimous,0,0,85 of 154,44 of 108,55%,40%,104 of 180,44 of 108,2 of 3,0 of 0,66%,---,0,0
